,EmployeeID,YearsExperience,Age,PerformanceScore,Salary,Department_HR,Department_Marketing,Department_Sales,EducationLevel_Bachelor,EducationLevel_High School,EducationLevel_Master,EducationLevel_PhD,Tenure_Years,YEAR,MONTH,DATE
2,634,-0.353202981726505,0.9600196989336438,1.288903036561476,-0.1767544578745866,0,0,0,1,0,0,0,-35.794661190965094,2061.0,12.0,2061-12-29
3,362,1.6742061491278997,0.48887521989971455,-0.8264226156349819,0.7347592616279214,0,1,0,1,0,0,0,-13.453798767967145,2039.0,8.0,2039-08-27
4,587,-0.3876827288498793,0.06787472089600372,0.036546058395414235,0.3237364868169817,0,0,0,1,0,0,0,0.0,,,
5,597,-0.19114817024664604,0.5306618699248966,2.1518717105918723,0.11196726472026797,0,0,0,1,0,0,0,-32.75564681724846,2058.0,12.0,2058-12-15
6,878,0.31915208717929244,-0.33432178559637515,0.4890784118503776,-0.6906675787384865,0,1,0,0,0,1,0,-55.83572895277207,2082.0,1.0,2082-01-13
7,859,-1.6358495747160267,0.18592200721714372,0.5522224611696749,-0.3441819995653871,0,0,0,1,0,0,0,-54.275154004106774,2080.0,6.0,2080-06-22
8,268,-1.3910433701400695,-1.0603648297839157,0.6679865515883864,-0.4414343340134302,0,0,0,0,0,1,0,-5.73305954825462,2031.0,12.0,2031-12-07
9,659,0.29156828948059305,-1.1679654535987598,0.5627464693895581,-0.02283028400227987,0,0,0,1,0,0,0,-37.84804928131417,2064.0,1.0,2064-01-18
11,317,0.7949725974818568,-1.228556096135274,1.4467631598597195,-0.05361632511583625,0,0,1,1,0,0,0,-9.757700205338809,2035.0,12.0,2035-12-16
12,581,0.43983120211110216,0.09399137716174259,-1.5736271992466662,-0.3270141597054622,0,1,0,1,0,0,0,-31.44147843942505,2057.0,8.0,2057-08-22
13,880,1.3190647537571454,-0.9579875372222192,0.45750638719072917,1.2139769706558379,0,0,1,0,0,1,0,-56.0,2082.0,3.0,2082-03-14
14,56,1.0501227261948263,-0.8180022596378588,-1.1210948457917025,0.8977976615724043,0,1,0,1,0,0,0,11.679671457905544,2014.0,7.0,2014-07-09
16,117,0.05365803432931099,2.3943464610480234,-0.5001783608186127,-0.07652705288513596,0,0,0,0,0,1,0,6.669404517453799,2019.0,7.0,2019-07-13
17,763,2.736182360527826,-0.03763657041758115,-0.21603013888177502,1.9471221211788106,0,1,0,0,0,1,0,-46.390143737166326,2072.0,8.0,2072-08-03
19,275,-0.9255667839745173,1.1511936227988528,-0.34231823752036966,-1.3845439421130101,1,0,0,0,0,1,0,-6.308008213552362,2032.0,7.0,2032-07-04
22,204,1.1776977905513109,0.45126723487705067,-0.20550613066189236,0.8170253850518434,0,0,0,0,0,1,0,-0.47638603696098564,2026.0,9.0,2026-09-04
23,681,0.836348294029906,0.3060586260395424,-0.08974204024318039,1.1183339620591317,0,1,0,0,1,0,0,-39.65503080082136,2065.0,11.0,2065-11-08
24,302,-0.4911219702200021,0.9203223814097211,0.6574625433685037,-0.8394515421336477,0,0,1,1,0,0,0,-8.525667351129364,2034.0,9.0,2034-09-22
25,893,1.1914896894006604,-0.5714610244892838,-0.8474706320747477,0.5011934159949634,1,0,0,1,0,0,0,-57.06776180698152,2083.0,4.0,2083-04-08
26,615,2.618951220308354,-0.3040264643281174,0.1628341570340084,2.1354567735492465,0,0,0,1,0,0,0,-34.234086242299796,2060.0,6.0,2060-06-07
28,281,0.20536892167215745,0.023998738369562962,-1.4157670759484229,-0.2555443637360655,1,0,0,1,0,0,0,0.0,,,
29,596,-0.4394023495349406,-1.1710994523506486,0.4259343625310803,-1.2050497222807584,1,0,0,1,0,0,0,-32.6735112936345,2058.0,11.0,2058-11-15
30,254,1.1570099422772862,0.2747186385206561,-1.3947190595086572,0.7378570873697204,0,0,0,1,0,0,0,-4.583162217659138,2030.0,10.0,2030-10-13
32,99,0.0950337308773598,0.8409277463618744,1.3941431187603053,-0.395706510296503,0,1,0,1,0,0,0,8.147843942505133,2018.0,1.0,2018-01-19
33,146,0.8984118388519795,-0.09927187920472526,-0.07921803202329773,0.11859064007470659,0,0,1,1,0,0,0,4.287474332648871,2021.0,11.0,2021-11-29
34,726,-0.10150082772587313,1.0185210089688992,1.1099948968234672,0.7863858862394509,0,1,0,1,0,0,0,-43.351129363449694,2069.0,7.0,2069-07-20
35,306,0.2088168963844948,-1.0540968322801385,1.0994708886035844,-0.19676854385908846,0,0,0,1,0,0,0,-8.854209445585216,2035.0,1.0,2035-01-20
36,63,-1.0565898230433395,1.0843349827585613,0.5101264282901434,-0.7484789514697983,0,0,0,0,0,0,1,11.104722792607802,2015.0,2.0,2015-02-04
39,732,-0.9255667839745173,-0.4805750606845124,-0.06869402380341462,-1.7612841618537785,0,1,0,0,0,1,0,-43.84394250513347,2070.0,1.0,2070-01-16
40,688,-0.29803538632910637,0.09399137716174259,-0.9737587307133423,0.4954377378276461,0,1,0,1,0,0,0,-40.2299794661191,2066.0,6.0,2066-06-06
41,395,1.3087208296201327,-0.49728972069458527,0.29964626389248616,1.5111070976596974,0,0,1,1,0,0,0,-16.164271047227928,2042.0,5.0,2042-05-13
44,302,-0.4911219702200021,0.9203223814097211,0.6574625433685037,-0.8394515421336477,0,0,1,1,0,0,0,-8.525667351129364,2034.0,9.0,2034-09-22
45,490,0.9984031055097647,1.2034269353303306,-0.2791741882010723,1.2274412502788024,1,0,0,1,0,0,0,-23.967145790554415,2050.0,3.0,2050-03-02
46,496,-1.6358495747160267,1.9796139595480902,-0.1844581142221266,0.8088634854301591,0,0,0,1,0,0,0,-24.459958932238195,2050.0,8.0,2050-08-29
47,621,-0.7290322253712843,0.0020607471063422153,-0.22655414710165767,-0.7183956480008851,0,1,0,0,0,1,0,-34.72689938398357,2060.0,12.0,2060-12-04
49,73,0.050210059616973335,-0.035547237916321715,0.43645837075096344,1.0085155493171492,0,0,0,0,0,1,0,10.283367556468173,2015.0,12.0,2015-12-01
50,243,0.6087819630156359,-0.723982297081199,1.1415669214831161,-0.3422595498203395,0,0,1,0,0,1,0,-3.679671457905544,2029.0,11.0,2029-11-17
51,460,-1.1496851402764499,0.5870738474588926,0.45750638719072917,-0.8048302659441829,0,1,0,0,1,0,0,-21.503080082135522,2047.0,9.0,2047-09-14
52,429,1.1845937399759856,-0.3468577806039296,-0.5001783608186127,1.5718010164312863,0,1,0,0,0,0,1,-18.95687885010267,2045.0,2.0,2045-02-26
53,308,-0.5221537426310389,-0.12538853547046414,0.7942746502269811,-1.0757999500332711,0,0,1,1,0,0,0,-9.018480492813142,2035.0,3.0,2035-03-21
54,345,-0.39802665298689166,0.8764463988832797,0.1102141159345942,-0.8054735500813726,0,0,0,0,0,1,0,-12.057494866529774,2038.0,4.0,2038-04-04
55,900,-0.7566160230699837,-0.4241630831505169,0.04707006661529689,-1.1135933444967008,1,0,0,0,0,1,0,-57.64271047227926,2083.0,11.0,2083-11-04
56,8,0.8811719652902924,0.5473765299349699,1.1099948968234672,-0.1386882151347584,0,0,0,1,0,0,0,15.62217659137577,2010.0,7.0,2010-07-30
57,568,-0.9531505816732168,0.42306124611005236,-0.45808232793908116,-0.00042982581612500606,0,1,0,1,0,0,0,-30.373716632443532,2056.0,7.0,2056-07-28
58,647,-1.6358495747160267,-0.31133912808252434,1.5625272502784315,-0.7324009740918586,0,0,0,1,0,0,0,-36.86242299794661,2063.0,1.0,2063-01-23
59,135,-0.8635032391524436,-0.370885104368409,-0.6054184430174415,-0.7718418830142263,1,0,0,0,1,0,0,0.0,,,
62,546,-0.7359281747959591,0.3739619323304634,-0.3633662539601354,-1.3245053148959964,0,0,0,0,0,0,1,-28.566735112936346,2054.0,10.0,2054-10-07
64,193,0.3088081630422801,-0.7438309558431606,-1.0474267882525223,0.3648880310807352,0,0,0,1,0,0,0,0.0,,,
65,387,0.4432791768234398,1.2441689191048835,0.5837944858293234,0.37915590644906744,0,1,0,0,0,1,0,-15.507186858316222,2041.0,9.0,2041-09-15
66,459,-0.4842260207953272,1.2316329240973283,-0.058170015583531964,-1.1204935583204894,0,1,0,1,0,0,0,-21.420944558521562,2047.0,8.0,2047-08-15
67,44,-0.22217994265768312,-0.1567285229893505,0.82584667488663,0.08113539009856573,0,0,1,0,0,0,1,12.6652977412731,2013.0,7.0,2013-07-14
68,81,-0.1394285495615849,-0.4805750606845124,1.1310429132632334,-0.6201191385200903,1,0,0,1,0,0,0,9.626283367556468,2016.0,7.0,2016-07-28
69,241,-0.7324802000836216,-0.5119150482033992,-0.16341009778236082,-1.2452991507664657,0,0,1,1,0,0,0,-3.515400410677618,2029.0,9.0,2029-09-18
70,803,0.1881290481104704,-0.8556102446605227,0.38383832965154874,-0.2753514520174957,1,0,0,1,0,0,0,-49.67556468172484,2075.0,11.0,2075-11-16
71,247,-0.401474627699229,-0.08046788669339255,1.3520470858807738,-0.6557259770921777,0,0,1,1,0,0,0,-4.008213552361396,2030.0,3.0,2030-03-17
72,419,1.3087208296201327,1.4802634917471627,-0.46860633615896424,1.8700484484006141,0,1,0,0,0,1,0,-18.135523613963038,2044.0,5.0,2044-05-02
73,474,1.5018074135110286,-0.10031654545535461,0.38383832965154874,0.5065398890654051,0,0,1,0,0,0,0,-22.652977412731005,2048.0,11.0,2048-11-07
75,750,-1.3669075471537075,0.9297243776653867,-0.28969819642095496,-1.2664538342440326,0,0,1,0,1,0,0,-45.322381930184804,2071.0,7.0,2071-07-10
76,725,0.2639844917818936,-1.092749483553432,-0.38441427039990117,-0.6785613216393829,0,0,1,0,0,1,0,-43.26899383983573,2069.0,6.0,2069-06-20
77,692,1.2880329813461087,-0.6122030082638366,-1.5420551745870175,0.7969329679759722,0,1,0,1,0,0,0,0.0,,,
78,912,0.31570411246695507,2.21466386593974,-1.3736710430688914,0.7226178136911715,0,0,0,0,0,1,0,0.0,,,
79,995,-0.9462546322485419,0.2506913147561759,-0.1528860895624777,-1.2680850853286658,0,0,1,0,1,0,0,-65.44558521560575,2091.0,8.0,2091-08-24
80,962,1.4638796916753172,0.18278800846525495,0.9310867570854583,1.5851875493046486,0,0,0,0,1,0,0,-62.73511293634497,2088.0,12.0,2088-12-07
81,976,-1.6358495747160267,-0.5223617107096948,-0.5527984019180269,-1.999858693531473,0,0,0,0,1,0,0,-63.885010266940455,2090.0,1.0,2090-01-31
82,542,-1.0807256460297012,1.735162056900774,0.04707006661529689,-1.0458677525998308,0,0,1,1,0,0,0,-28.238193018480494,2054.0,6.0,2054-06-09
83,445,-1.2600203310712474,0.3018799610370243,-0.8053745991952161,-1.6919370436902883,1,0,0,0,0,0,0,-20.27104722792608,2046.0,6.0,2046-06-21
84,497,-0.9841823540842537,2.038115269583345,0.9521347735252241,-0.8368886592404389,0,1,0,0,0,1,0,-24.542094455852155,2050.0,9.0,2050-09-28
